#,Result,Protocol,Host,URL,Body,Caching,Content-Type,Process,Comments,Custom,Privacy Info
3,200,HTTP,updates.epicbrowser.com,/extensions/newtab/useragent.xml,44,,application/xml,epic:1136,,,
4,200,HTTP,updates.epicbrowser.com,/extensions/newtab/newTabAd.xml,121,,application/xml,epic:1136,,,
5,200,HTTP,updates.epicbrowser.com,/extensions/newtab/newAdd.html,719,,text/html,epic:1136,,,
8,200,HTTPS,accounts.google.com,/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,280,"no-cache, no-store, max-age=0, must-revalidate; Expires: Mon, 01 Jan 1990 00:00:00 GMT",application/json; charset=utf-8,epic:1136,,,
9,200,HTTPS,www.target.com,/,"67,895","max-age=0, no-cache, no-store",text/html; charset=utf-8,epic:1136,,,Sets cookies without P3P
21,200,HTTPS,assets.targetimg1.com,/ui/fonts/99ecc614-958b-457a-be15-01e00c53057A.woff2,"32,236","max-age=31536000; Expires: Wed, 22 Jan 2020 23:36:23 GMT",application/octet-stream,epic:1136,,,
22,200,HTTPS,assets.targetimg1.com,/ui/fonts/3420ab8a-6ccf-4c75-9da7-efe26f1cedAA.woff2,"32,676","max-age=31536000; Expires: Thu, 08 Oct 2020 08:08:24 GMT",application/octet-stream,epic:1136,,,
23,200,HTTPS,assets.targetimg1.com,/ui/nicollet.50378454.js,"21,399",max-age=31536000,application/javascript,epic:1136,,,
24,200,HTTPS,assets.targetimg1.com,/ui/vendor.6447aee8.js,"211,859",max-age=31536000,application/javascript,epic:1136,,,
25,200,HTTPS,assets.targetimg1.com,/ui/client.46137a66.js,"302,694",max-age=31536000,application/javascript,epic:1136,,,
26,200,HTTPS,assets.targetimg1.com,/ui/default~axiom~axiom-advanced-returns~axiom-batch~brands~gift-card~gift-card-balance~home~order-track~ad820cf2.76ff3a1c.js,"7,270",max-age=31536000,application/javascript,epic:1136,,,
31,200,HTTPS,assets.targetimg1.com,/ui/home.6648ec07.js,"3,396",max-age=31536000,application/javascript,epic:1136,,,
32,200,HTTPS,assets.targetimg1.com,/ui/vendors~aisles-products-container~axiom-release-id-history~bia-carousel~brands~bulk-box~buy-it-again~63b638b6.2a666a6c.js,"5,258",max-age=31536000,application/javascript,epic:1136,,,
33,200,HTTPS,assets.targetimg1.com,/ui/vendors~aisles-products-container~bia-carousel~brands~bulk-box~buy-it-again~cart-routing-page~cgi-bu~da925b90.2da121a5.js,"2,001",max-age=31536000,application/javascript,epic:1136,,,
35,200,HTTPS,assets.targetimg1.com,/ui/vendors~aisles-products-container~ar-filmstrip~bia-carousel~bulk-box~buy-it-again~content~dealgator-~0317e329.715d1949.js,"4,526",max-age=31536000,application/javascript,epic:1136,,,
37,200,HTTPS,target.scene7.com,/is/image/Target/HomeRefresh_1wk1_SH_T-201230-1609359381079?wid=1785&qlt=80&fmt=webp,"65,146","Expires: Thu, 07 Jan 2021 21:11:47 GMT",image/webp,epic:1136,,,
38,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB1_BedBath-201228-1609188254511?wid=382&qlt=80&fmt=webp,"22,536","Expires: Thu, 07 Jan 2021 21:12:37 GMT",image/webp,epic:1136,,,
39,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB1_New-201218-1608322873186?wid=382&qlt=80&fmt=webp,"30,054","Expires: Thu, 07 Jan 2021 21:11:15 GMT",image/webp,epic:1136,,,
40,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB4_Organization-201230-1609344974461?wid=382&qlt=80&fmt=webp,"16,758","Expires: Thu, 07 Jan 2021 21:11:15 GMT",image/webp,epic:1136,,,
41,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB2_HealthyEating-201216-1608139093528?wid=382&qlt=80&fmt=webp,"24,540","Expires: Thu, 07 Jan 2021 21:11:15 GMT",image/webp,epic:1136,,,
42,200,HTTPS,assets.targetimg1.com,/ui/vendors~bundle-filmstrip-exp-2367~cartRecs~checkout-order-confirmation~circle-offers-filmstrip~compl~421f8366.5b8e0497.js,"10,712",max-age=31536000,application/javascript,epic:1136,,,
43,200,HTTPS,assets.targetimg1.com,/ui/content.f19c319b.js,"83,118",max-age=31536000,application/javascript,epic:1136,,,
44,200,HTTPS,www.target.com,/assets/6b6836693f3d06d13110.worker.js,"102,100","max-age=31536000; Expires: Wed, 06 Jan 2021 16:46:57 GMT",application/javascript,epic:1136,,,
47,200,HTTPS,assets.targetimg1.com,/ui/vendors~pictureElement~picturefill.671b2f92.js,"4,598",max-age=31536000,application/javascript,epic:1136,,,
