#,Result,Protocol,Host,URL,Body,Caching,Content-Type,Process,Comments,Custom,Privacy Info
54,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
55,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
56,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
59,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
61,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
62,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
65,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
67,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=message-groups&bucket=main,179,"max-age=60; Expires: Sun, 10 Jan 2021 17:10:47 GMT",application/json,firefox:12476,,,
68,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
69,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:12476,,,
72,200,HTTPS,www.target.com,/,"67,652","max-age=0, no-cache, no-store",text/html; charset=utf-8,firefox:12476,,,Sets cookies without P3P
73,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/message-groups/changeset?_expected=1595616291726,"1,147",,application/json,firefox:12476,,,
