#,Result,Protocol,Host,URL,Body,Caching,Content-Type,Process,Comments,Custom,Privacy Info
3,200,HTTP,Tunnel to,accounts.google.com:443,0,,,chrome:17068,,,
4,200,HTTP,Tunnel to,www.googleapis.com:443,0,,,chrome:17068,,,
5,200,HTTP,Tunnel to,duckduckgo.com:443,0,,,chrome:17068,,,
6,200,HTTP,Tunnel to,staticcdn.duckduckgo.com:443,0,,,chrome:17068,,,
7,200,HTTP,Tunnel to,staticcdn.duckduckgo.com:443,0,,,chrome:17068,,,
8,200,HTTP,Tunnel to,staticcdn.duckduckgo.com:443,0,,,chrome:17068,,,
9,200,HTTP,Tunnel to,staticcdn.duckduckgo.com:443,0,,,chrome:17068,,,
10,200,HTTP,Tunnel to,staticcdn.duckduckgo.com:443,0,,,chrome:17068,,,
11,200,HTTP,Tunnel to,duckduckgo.com:443,0,,,chrome:17068,,,
12,200,HTTPS,staticcdn.duckduckgo.com,/https/https-bloom.json,"1,390,171","no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/plain; charset=UTF-8,chrome:17068,,,
13,200,HTTPS,staticcdn.duckduckgo.com,/https/negative-https-whitelist.json,"9,746","no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/plain; charset=UTF-8,chrome:17068,,,
14,200,HTTPS,staticcdn.duckduckgo.com,/https/negative-https-bloom.json,"339,260","no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/plain; charset=UTF-8,chrome:17068,,,
15,200,HTTPS,staticcdn.duckduckgo.com,/trackerblocking/v2.1/tds.json,"204,915","no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/plain; charset=UTF-8,chrome:17068,,,
16,200,HTTPS,staticcdn.duckduckgo.com,/https/https-whitelist.json,"9,902","no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/plain; charset=UTF-8,chrome:17068,,,
17,200,HTTPS,duckduckgo.com,/atb.js?9442983,126,"no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/json,chrome:17068,,,
18,200,HTTPS,duckduckgo.com,/contentblocking/trackers-whitelist-temporary.txt,216,"no-cache; Expires: Wed, 06 Jan 2021 16:28:06 GMT",text/plain; charset=utf-8,chrome:17068,,,
19,200,HTTPS,accounts.google.com,/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,202,"no-cache, no-store, max-age=0, must-revalidate; Expires: Mon, 01 Jan 1990 00:00:00 GMT",application/json; charset=utf-8,chrome:17068,,,
20,200,HTTPS,www.googleapis.com,/chromewebstore/v1.1/items/verify,625,private,application/json; charset=UTF-8,chrome:17068,,,
21,200,HTTP,Tunnel to,duckduckgo.com:443,0,,,chrome:17068,,,
22,200,HTTPS,duckduckgo.com,/exti/?atb=v255-1,43,"no-cache; Expires: Wed, 06 Jan 2021 16:28:07 GMT",image/gif,chrome:17068,,,
23,200,HTTP,Tunnel to,duckduckgo.com:443,0,,,chrome:17068,,,
24,200,HTTP,Tunnel to,duckduckgo.com:443,0,,,chrome:17068,,,
25,200,HTTPS,duckduckgo.com,/app?post=1&atb=v255-1,"1,803","no-cache; Expires: Wed, 06 Jan 2021 16:28:08 GMT",text/html; charset=UTF-8,chrome:17068,,,
26,200,HTTPS,duckduckgo.com,/font/ProximaNova-Reg-webfont.woff2,"18,084","max-age=31536000; Expires: Thu, 06 Jan 2022 16:28:09 GMT",text/html; charset=UTF-8,chrome:17068,,,
27,200,HTTP,Tunnel to,duckduckgo.com:443,740,,,chrome:17068,,,
