#,Result,Protocol,Host,URL,Body,Caching,Content-Type,Process,Comments,Custom,Privacy Info
47,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
48,200,HTTP,Tunnel to,location.services.mozilla.com:443,0,,,firefox:8188,,,
49,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
50,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
51,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
52,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,0,,,firefox:8188,,,
53,200,HTTP,Tunnel to,shavar.services.mozilla.com:443,0,,,firefox:8188,,,
54,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
55,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
56,200,HTTP,detectportal.firefox.com,/success.txt,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
57,200,HTTP,detectportal.firefox.com,/success.txt?ipv4,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
58,200,HTTP,detectportal.firefox.com,/success.txt?ipv6,8,"public, must-revalidate, max-age=0, s-maxage=86400",text/plain,firefox:8188,,,
59,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,0,,,firefox:8188,,,
60,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=message-groups&bucket=main,179,"max-age=60; Expires: Wed, 06 Jan 2021 18:51:52 GMT",application/json,firefox:8188,,,
61,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,0,,,firefox:8188,,,
62,200,HTTP,Tunnel to,publicsuffix.org:443,0,,,firefox:8188,,,
63,200,HTTP,Tunnel to,disconnect.me:443,0,,,firefox:8188,,,
64,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,0,,,firefox:8188,,,
65,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=partitioning-exempt-urls&bucket=main,189,"max-age=60; Expires: Wed, 06 Jan 2021 18:59:52 GMT",application/json,firefox:8188,,,
66,200,HTTP,Tunnel to,www.target.com:443,0,,,firefox:8188,,,
67,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/message-groups/changeset?_expected=1595616291726,"1,146",,application/json,firefox:8188,,,
68,200,HTTP,Tunnel to,content-signature-2.cdn.mozilla.net:443,0,,,firefox:8188,,,
69,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,0,,,firefox:8188,,,
70,200,HTTP,Tunnel to,services.disconnect.me:443,0,,,firefox:8188,,,
71,302,HTTPS,disconnect.me,/mobileupgrade,86,,text/html; charset=utf-8,firefox:8188,,,
72,200,HTTP,Tunnel to,services.disconnect.me:443,0,,,firefox:8188,,,
73,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/main/collections/partitioning-exempt-urls/changeset?_expected=1592906663254,748,,application/json,firefox:8188,,,
74,200,HTTPS,www.target.com,/,"66,723","max-age=0, no-cache, no-store",text/html; charset=utf-8,firefox:8188,,,Sets cookies without P3P
75,200,HTTPS,content-signature-2.cdn.mozilla.net,/chains/remote-settings.content-signature.mozilla.org-2021-02-13-15-04-04.chain,"5,340",,binary/octet-stream,firefox:8188,,,
76,200,HTTP,Tunnel to,content-signature-2.cdn.mozilla.net:443,0,,,firefox:8188,,,
77,200,HTTPS,publicsuffix.org,/list/effective_tld_names.dat,"74,860",,text/plain; charset=UTF-8,firefox:8188,,,
78,200,HTTP,Tunnel to,target.scene7.com:443,0,,,firefox:8188,,,
79,200,HTTP,Tunnel to,target.scene7.com:443,0,,,firefox:8188,,,
80,200,HTTP,Tunnel to,target.scene7.com:443,0,,,firefox:8188,,,
81,200,HTTP,Tunnel to,target.scene7.com:443,0,,,firefox:8188,,,
82,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,0,,,firefox:8188,,,
83,200,HTTP,Tunnel to,target.scene7.com:443,0,,,firefox:8188,,,
84,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
85,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
86,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
87,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
88,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
89,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
90,200,HTTP,Tunnel to,disconnect.me:443,0,,,firefox:8188,,,
91,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
92,200,HTTP,Tunnel to,assets.targetimg1.com:443,0,,,firefox:8188,,,
93,200,HTTPS,disconnect.me,/welcome-honor-system,"5,252",,text/html; charset=utf-8,firefox:8188,,,
94,200,HTTPS,firefox.settings.services.mozilla.com,/v1/buckets/monitor/collections/changes/records?collection=cfr-fxa&bucket=main,172,"max-age=60; Expires: Wed, 06 Jan 2021 18:52:47 GMT",application/json,firefox:8188,,,
95,200,HTTPS,assets.targetimg1.com,/ui/vendor.f0c65eaf.js,"212,114",max-age=31536000,application/javascript,firefox:8188,,,
96,200,HTTP,Tunnel to,firefox.settings.services.mozilla.com:443,792,,,firefox:8188,,,
97,200,HTTPS,assets.targetimg1.com,/ui/home.7e620a42.js,"3,396",max-age=31536000,application/javascript,firefox:8188,,,
98,200,HTTPS,assets.targetimg1.com,/ui/nicollet.e3caa964.js,"21,360",max-age=31536000,application/javascript,firefox:8188,,,
99,200,HTTPS,assets.targetimg1.com,/ui/fonts/99ecc614-958b-457a-be15-01e00c53057A.woff2,"32,236","max-age=31536000; Expires: Wed, 22 Jan 2020 23:36:23 GMT",application/octet-stream,firefox:8188,,,
100,200,HTTPS,assets.targetimg1.com,/ui/vendors~aisles-products-container~axiom-release-id-history~bia-carousel~brands~bulk-box~buy-it-again~63b638b6.2a666a6c.js,"5,258",max-age=31536000,application/javascript,firefox:8188,,,
101,200,HTTPS,assets.targetimg1.com,/ui/fonts/3420ab8a-6ccf-4c75-9da7-efe26f1cedAA.woff2,"32,676","max-age=31536000; Expires: Thu, 08 Oct 2020 08:08:24 GMT",application/octet-stream,firefox:8188,,,
102,200,HTTPS,assets.targetimg1.com,/ui/default~axiom~axiom-advanced-returns~axiom-batch~brands~gift-card~gift-card-balance~home~order-track~ad820cf2.0634f74b.js,"7,210",max-age=31536000,application/javascript,firefox:8188,,,
103,200,HTTPS,assets.targetimg1.com,/ui/client.4eee1698.js,"302,532",max-age=31536000,application/javascript,firefox:8188,,,
104,200,HTTP,Tunnel to,assets.targetimg1.com:443,"1,979",,,firefox:8188,,,
105,200,HTTP,Tunnel to,assets.targetimg1.com:443,"1,979",,,firefox:8188,,,
106,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB4_Organization-201230-1609344974461?wid=526&qlt=80&fmt=webp,"26,116","Expires: Thu, 07 Jan 2021 03:07:20 GMT",image/webp,firefox:8188,,,
107,200,HTTP,Tunnel to,assets.targetimg1.com:443,"1,979",,,firefox:8188,,,
108,200,HTTPS,target.scene7.com,/is/image/Target/HomeRefresh_1wk1_SH_D-201230-1609359209869?wid=2160&qlt=80&fmt=webp,"83,054","Expires: Thu, 07 Jan 2021 03:06:52 GMT",image/webp,firefox:8188,,,
109,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB2_HealthyEating-201216-1608139093528?wid=526&qlt=80&fmt=webp,"36,274","Expires: Thu, 07 Jan 2021 03:06:52 GMT",image/webp,firefox:8188,,,
110,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB1_New-201218-1608322873186?wid=526&qlt=80&fmt=webp,"45,162","Expires: Thu, 07 Jan 2021 03:06:52 GMT",image/webp,firefox:8188,,,
111,200,HTTPS,target.scene7.com,/is/image/Target/NewHome_1wk1_SB1_BedBath-201228-1609188259877?wid=526&qlt=80&fmt=webp,"33,540","Expires: Thu, 07 Jan 2021 03:07:23 GMT",image/webp,firefox:8188,,,
112,200,HTTP,Tunnel to,assets.targetimg1.com:443,"1,979",,,firefox:8188,,,
113,200,HTTPS,assets.targetimg1.com,/ui/vendors~aisles-products-container~ar-filmstrip~bia-carousel~bulk-box~buy-it-again~content~dealgator-~0317e329.715d1949.js,"4,526",max-age=31536000,application/javascript,firefox:8188,,,
